"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0F930","2020-02-11 00:00:00","100.000","0.000","0.100","17.000","1.000","1010.700","","0.000","-99.000","-99.000","-99.000","21.900","","10.400",""
"C0R190","2020-02-11 00:00:00","32.000","19.000","0.800","16.400","0.980","1018.300","","0.000","-99.000","-99.000","-99.000","25.200","","13.200",""
"C0E420","2020-02-11 00:00:00","19.000","0.000","0.000","14.600","0.890","1018.400","","0.000","-99.000","-99.000","-99.000","21.600","","11.600",""
"C0W160","2020-02-11 00:00:00","49.000","33.000","8.800","13.200","0.790","1014.400","","0.000","-99.000","-99.000","-99.000","13.500","","10.200",""
"C0I460","2020-02-11 00:00:00","110.000","222.000","1.900","16.100","0.870","1010.100","","0.000","-99.000","-99.000","-99.000","23.600","","12.200",""
"C0R550","2020-02-11 00:00:00","38.000","36.000","1.000","16.700","0.880","1018.900","","0.000","-99.000","-99.000","-99.000","24.800","","12.900",""
"C0V530","2020-02-11 00:00:00","34.000","13.000","0.900","16.300","0.980","1018.500","","0.000","-99.000","-99.000","-99.000","24.100","","12.400",""
"C0AI10","2020-02-11 00:00:00","76.000","184.000","2.800","16.200","0.740","1013.200","","0.000","-99.000","-99.000","-99.000","19.400","","11.500",""
"C0F9U0","2020-02-11 00:00:00","74.000","0.000","0.200","17.700","0.850","1013.800","","0.000","-99.000","-99.000","-99.000","23.900","","13.500",""
"C0R690","2020-02-11 00:00:00","248.000","62.000","1.700","17.800","0.720","994.100","","8.000","7.100","45.000","","18.400","","15.300",""
"C0X150","2020-02-11 00:00:00","18.000","357.000","0.600","17.100","0.860","1022.400","","0.000","-99.000","-99.000","-99.000","24.200","","12.500",""
"C0Z050","2020-02-11 00:00:00","830.000","290.000","0.300","11.100","0.950","932.400","","0.000","-99.000","-99.000","-99.000","11.800","","9.700",""
"C0I490","2020-02-11 00:00:00","1601.000","214.000","1.600","9.600","0.930","847.100","","0.000","-99.000","-99.000","-99.000","18.400","","6.800",""
"C0I090","2020-02-11 00:00:00","910.000","0.000","0.000","11.600","1.000","920.000","","0.000","-99.000","-99.000","-99.000","17.800","","11.500",""
"C0X240","2020-02-11 00:00:00","394.000","144.000","0.400","15.200","0.860","978.000","","0.000","-99.000","-99.000","-99.000","21.700","","12.000",""
"C0S990","2020-02-11 00:00:00","409.000","16.000","3.500","15.900","0.830","977.800","","0.500","-99.000","-99.000","-99.000","16.400","","13.500",""
"C0E850","2020-02-11 00:00:00","104.000","0.000","0.000","13.800","0.940","1010.000","","0.000","-99.000","-99.000","-99.000","21.300","","9.200",""
"C0T9B0","2020-02-11 00:00:00","558.000","286.000","0.800","13.500","0.800","961.200","","0.000","-99.000","-99.000","-99.000","14.900","","10.900",""
"C0G650","2020-02-11 00:00:00","34.000","139.000","0.300","15.900","0.990","1018.800","","0.000","-99.000","-99.000","-99.000","24.900","","12.100",""
"C0K580","2020-02-11 00:00:00","26.000","334.000","1.000","16.200","0.990","1021.500","","0.000","-99.000","-99.000","-99.000","23.800","","11.500",""
"C0X050","2020-02-11 00:00:00","25.000","140.000","0.300","15.300","0.960","1018.900","","0.000","-99.000","-99.000","-99.000","25.200","","12.000",""
"CM0100","2020-02-11 00:00:00","25.000","139.000","2.400","14.900","0.780","1019.600","","0.000","-99.000","-99.000","-99.000","22.200","","13.600",""
"C0AC70","2020-02-11 00:00:00","71.000","0.000","0.000","17.900","0.610","1014.200","","0.000","-99.000","-99.000","-99.000","19.800","","12.900",""
"CM0130","2020-02-11 00:00:00","11.000","354.000","1.500","17.600","0.780","1022.600","","0.000","-99.000","-99.000","-99.000","19.800","","14.100",""
"C0W110","2020-02-11 00:00:00","16.000","-99.000","-99.000","12.700","0.780","1022.600","","0.000","-99.000","-99.000","-99.000","12.900","","10.000",""
"C0R670","2020-02-11 00:00:00","26.000","80.000","5.200","19.600","0.660","1020.800","","0.000","11.000","68.000","","21.100","","18.500",""
"C0X120","2020-02-11 00:00:00","28.000","350.000","1.400","17.200","0.850","1021.000","","0.000","-99.000","-99.000","-99.000","23.800","","12.800",""
"C0R100","2020-02-11 00:00:00","1006.000","308.000","0.400","11.500","0.900","909.700","","0.000","-99.000","-99.000","-99.000","19.900","","9.900",""
"C0C700","2020-02-11 00:00:00","151.000","129.000","0.900","15.900","0.690","1005.200","","0.000","-99.000","-99.000","-99.000","19.700","","12.200",""
"CM0190","2020-02-11 00:00:00","280.000","0.000","0.100","13.500","0.890","991.800","","0.000","-99.000","-99.000","-99.000","22.000","","10.300",""
"C0W130","2020-02-11 00:00:00","18.000","19.000","2.700","16.800","0.840","1019.900","","0.000","-99.000","-99.000","-99.000","19.400","","15.800",""
"C0F9R0","2020-02-11 00:00:00","20.000","9.000","0.600","16.500","1.000","1021.500","","0.000","-99.000","-99.000","-99.000","20.900","","12.400",""
"C0V660","2020-02-11 00:00:00","25.000","5.000","1.300","17.800","0.780","1020.800","","0.000","-99.000","-99.000","-99.000","23.500","","14.100",""
"C0G780","2020-02-11 00:00:00","27.000","311.000","1.000","16.900","0.940","1019.500","","0.000","-99.000","-99.000","-99.000","23.000","","12.500",""
"C0C590","2020-02-11 00:00:00","72.000","137.000","1.500","15.400","0.720","1013.400","","0.000","-99.000","-99.000","-99.000","22.300","","11.900",""
